stock_code,name,industry,full_name,address,chairman,manager,main_business,create_date,capital,ipo_date,state,common_share_price,common_shares,dividend_frequency,company_url,money_dj_introduce_url
1109,信大,水泥工業,信大水泥股份有限公司,service@hsingta.com.tw,楊智雄,楊大寬,有關水泥及水泥製品之生產及運銷,53/03/15,"3,419,578,680元",80/12/05,上市,新台幣10.0000元,"341,957,868股(含私募0股)",每年,http://www.hsingta.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=37f1d276-0145-4b86-bb22-2fc57ffae56e
1110,東泥,水泥工業,東南水泥股份有限公司,southeast@secement.com,陳敏斷,吳長直,(1)水泥製造與買賣(2)石灰石之開採及銷售(3)水泥加工製品及預拌混凝土之製造及銷售(4)廠房及大樓出租業(5)廢棄物處理業,45/12/28,"5,720,007,970元",83/10/22,上市,新台幣10.0000元,"572,000,797股(含私募0股)",每年,http://www.southeastcement.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=e60f8075-7f04-4f05-a0a0-3aa64feecfec
1201,味全,食品工業,味全食品工業股份有限公司,service@weichuan.com.tw,陳宏裕,張教華,食品製造及販賣,42/09/22,"5,060,629,140元",51/02/09,上市,新台幣10.0000元,"506,062,914股(含私募0股)",每年,https://www.weichuan.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=4ad95be0-fda9-4e55-abed-7a599f1e6dea
1203,味王,食品工業,味王股份有限公司,wei@vewong.com.tw,陳清福,陳恭平,味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務洋菸酒類及飲料之進口及經銷汽車檢驗及修理,48/07/04,"2,400,000,000元",53/08/24,上市,新台幣10.0000元,"240,000,000股(含私募0股)",每年,https://www.vewong.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=4d5436a3-b98a-45ff-8527-2153d98d57e2
1204,津津,公司不繼續公開發行,,,,,,,,,,,,,,
1207,嘉食化,公司不繼續公開發行,,,,,,,,,,,,,,
1210,大成,食品工業,大成長城企業股份有限公司,ir@ms.greatwall.com.tw,韓家宇,莊坤炎,飼料大宗油脂肉品,49/12/28,"8,273,390,860元",67/05/20,上市,新台幣10.0000元,"827,339,086股(含私募0股)",每年,https://www.dachan.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=f9ad1992-4b43-43d2-bdf6-c643b596f51b
1212,中日,公司不繼續公開發行,,,,,,,,,,,,,,
1213,大飲,食品工業,大西洋飲料股份有限公司,c5012903@ms23.hinet.net,蘇芸樂,張芳春,製造蘋果汽水礦泉水及各種汽水飲料等之批發經銷各國及國內有關飲料之產品副產品加工產品百貨批發,54/07/24,"566,226,270元",70/04/10,上市,新台幣10.0000元,"56,622,627股(含私募0股)",每年,https://applesidra.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=8a01b720-42b1-4858-b883-122134154148
1215,卜蜂,食品工業,台灣卜蜂企業股份有限公司,service@cptwn.com.tw,鄭武樾,許瑞通,各種飼料生產加工配製銷售進口及買賣各種禽畜育種、電動屠宰業務及各種禽畜加工品製品銷售各種肉類加工品與調理食品及蛋品生產銷售等業務,66/08/22,"2,679,909,980元",76/07/27,上市,新台幣10.0000元,"267,990,998股(含私募0股)",每年,http://www.cptwn.com.tw/cpwebsite/default.html,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=af8a480c-a5f8-42d3-a2a2-4c0396b3fca8
1216,統一,食品工業,統一企業股份有限公司,jlian@mail.pec.com.tw,羅智先,黃釗凱、李清田,食品事業、便利商店事業、流通事業包裝容器事業、食糧事業、油品事業其他(製藥事業、休閒開發事業、物流事業等),56/08/25,"56,820,154,210元",76/12/28,上市,新台幣10.0000元,"5,682,015,421股(含私募0股)",每年,https://www.uni-president.com.tw,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=965eb86e-8f4f-4df3-b388-40dc85b4d321
1217,愛之味,食品工業,愛之味股份有限公司,YUEHCHU@mail.agv.com.tw,陳冠翰,陳志展,食品,60/06/26,"4,945,133,360元",78/10/28,上市,新台幣10.0000元,"494,513,336股(含私募0股)",每年,https://www.agv.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=b343450d-2ec8-476a-942b-03e3eaf15d04
1218,泰山,食品工業,泰山企業股份有限公司,taisunir@taisun.com.tw,詹逸宏,詹景超,各種食用油脂之精製及批發零售.各種清涼飲料.冷凍調理食品各種禽畜魚類飼料之加工製造及買賣,39/10/26,"4,999,990,380元",78/11/11,上市,新台幣10.0000元,"499,999,038股(含私募0股)",每年,https://www.taisun.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=5280f6b1-c6e4-4778-9a2c-3f262c3a85ad
1219,福壽,食品工業,福壽實業股份有限公司,fwusow@fwusow.com.tw,洪堯昆,洪碩嬪,食用油脂、動物飼料、穀物食品、寵物食品、有機肥料等生產及銷售進出口國際貿易大宗穀物進口與銷售,44/02/07,"3,220,138,870元",79/12/01,上市,新台幣10.0000元,"322,013,887股(含私募0股)",每年,https://www.fwusow.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=43b9a9ca-511e-4e7b-acd1-885a4897b880
1220,台榮,食品工業,台榮產業股份有限公司,jushan@tairoun.com.tw,陳英凱,陳英凱,飼料製造販賣果糖製造販賣玉米澱粉製造販賣,58/03/13,"1,770,779,440元",80/11/20,上市,新台幣10.0000元,"177,077,944股(含私募0股)",每年,http://www.tairoun.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=30cab40f-412e-4944-abcd-fd4fc6f20c64
1224,惠勝,公司不繼續公開發行,,,,,,,,,,,,,,
1225,福懋油,食品工業,福懋油脂股份有限公司,cherry.lin@fopco.com.tw,晉昇投資有限公司,許逸群,麵粉，飼料，黃豆油，黃豆粉，大麥片，玉米粉之製造與銷售。家畜，家禽之養殖及肉類之加工銷售。一般進口貿易業務(許可業務除外)。,75/04/18,"2,187,030,510元",82/09/27,上市,新台幣10.0000元,"218,703,051股(含私募0股)",每年,https://www.fopco.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=ec3a0142-6c89-4fab-b991-2ce8b4ecd159
1227,佳格,食品工業,佳格食品股份有限公司,spokesperson1@sfworldwide.com,曹德風,曹博睿,"嬰兒麥粉,麥片及相關產品之生產製造食用油及滋養飲料粉之分裝,加工,銷售業務一般進出口貿易",75/06/06,"9,150,895,910元",83/04/09,上市,新台幣10.0000元,"915,089,591股(含私募0股)",每年,https://www.sfworldwide.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=f1dfc540-73f7-4be6-b2db-17e90bbd9b98
1228,臺芳,公司不繼續公開發行,,,,,,,,,,,,,,
1229,聯華,食品工業,聯華實業投資控股股份有限公司,info@lhic.com.tw,苗豐強,林信宏,一般投資業,44/07/20,"12,814,982,150元",65/07/19,上市,新台幣10.0000元,"1,281,498,215股(含私募0股)",每季,https://www.lhicholdings.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=eaedb170-4e3f-4672-a4be-482c18386a37
1231,聯華食,食品工業,聯華食品工業股份有限公司,tomlin@lianhwa.com.tw,李開源,林家齊,食品,59/07/07,"2,017,623,940元",84/11/02,上市,新台幣10.0000元,"201,762,394股(含私募0股)",每年,https://www.lianhwa.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=98fd316c-df13-4449-ae33-669cc38e591f
1232,大統益,食品工業,大統益股份有限公司,finance@mail.ttet.com.tw,羅智先,陳昭良,黃豆油、粉加工，製造及銷售,71/05/24,"1,599,749,150元",85/02/09,上市,新台幣10.0000元,"159,974,915股(含私募0股)",每年,https://www.ttet.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=903b8b46-3d00-4620-b8c9-43d0b0998c29
1233,天仁,食品工業,天仁茶業股份有限公司,chafortea@tenren.com.tw,李國麟,林仁宗,茶葉製造加工茶葉製品買賣茶相關製品,64/12/11,"905,919,480元",88/01/20,上市,新台幣10.0000元,"90,591,948股(含私募0股)",每年,https://www.tenren.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=3e1ad2dc-d20a-4f7e-8c9d-d8fd329a2e02
1234,黑松,食品工業,黑松股份有限公司,heysong@heysong.com.tw,張斌堂,張斌堂,"碳酸飲料,酒類,果蔬汁,咖啡飲料,運動飲料等.",58/12/13,"4,018,710,940元",88/03/12,上市,新台幣10.0000元,"401,871,094股(含私募0股)",每年,https://www.heysong.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=9081d822-7478-4539-ae66-9b438caddb57
1235,興泰,食品工業,興泰實業股份有限公司,shintai1235@seed.net.tw,吳金泉,葉文籐,飼料,61/11/15,"1,043,979,850元",89/09/11,上市,新台幣10.0000元,"104,397,985股(含私募0股)",每年,http://www.goldenbrand.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=8e6d194e-5b80-4d14-b3c9-253310c99c6f
1236,宏亞,食品工業,宏亞食品股份有限公司,新北市新店區寶興路45巷8弄3號5樓,張云綺,張云綺,糖果、餅乾、巧克力之製造、加工及買賣。月餅、西點、麵包糕餅等食品之製造、加工及買賣。七七巧克力、禮坊名店。,65/06/14,"1,083,425,100元",90/09/17,上市,新台幣10.0000元,"108,342,510股(含私募0股)",每年,https://www.hunya.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=a89442f6-4871-4534-a5dc-c93fa449e163
1301,台塑,塑膠工業,台灣塑膠工業股份有限公司,formosa@fpc.com.tw,林健男,林健男,聚氯乙烯(PVC)、氯乙烯、液(石咸)、聚丙烯、高密度聚乙烯聚乙烯醋酸乙烯酯、低密度聚乙烯、線性低密度聚乙烯、丙烯酸酯高吸水性樹脂、碳素纖維、丙烯睛、甲基丙烯酸甲酯及環氧氯丙烷等,43/11/05,"63,657,407,810元",53/07/27,上市,新台幣10.0000元,"6,365,740,781股(含私募0股)",每年,http://www.fpc.com.tw/fpcw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=582262bf-0816-4ebe-bb8f-22211ba0970f
1303,南亞,塑膠工業,南亞塑膠工業股份有限公司,台北市敦化北路201號台塑大樓3樓,吳嘉昭,鄒明仁,各種塑膠加工品、塑膠原料、電子材料、聚酯纖維之製銷及染整加工、配電盤,47/08/22,"79,308,215,890元",56/11/05,上市,新台幣10.0000元,"7,930,821,589股(含私募0股)",每年,https://www.npc.com.tw/j2npc/zhtw,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=2254c69e-f372-4115-a12d-0d6f57dc7df8
1304,台聚,塑膠工業,台灣聚合化學品股份有限公司,mtwu@usig.com,吳亦圭,王克舜,塑膠原料之製造、加工及銷售電子材料其他,54/05/26,"11,887,635,000元",61/05/20,上市,新台幣10.0000元,"1,188,763,500股(含私募0股)",每年,https://www.usife.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=c06626f6-91e1-4e15-8027-66c3b749116d
1305,華夏,塑膠工業,華夏海灣塑膠股份有限公司,cgpcstkqa@cgpc.com.tw,吳亦圭,林漢福,從事生產與銷售塑膠布，塑膠皮，塑膠管，塑膠粒塑膠粉，鹼氯品及其它有關產品為主要業務,53/04/29,"5,533,814,230元",62/03/05,上市,新台幣10.0000元,"553,381,423股(含私募0股)",每年,https://www.cgpc.com.tw,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=a3f3b4e1-9007-45c3-87fa-a0a30086ce52
1306,合發,公司不繼續公開發行,,,,,,,,,,,,,,
1307,三芳,塑膠工業,三芳化學工業股份有限公司,service@sanfang.com.tw,林孟經,林至逸,聚氨基甲酸加工品之製銷事項不織布起毛布加工品製銷染整事項聚氯乙烯加工之製銷事項塑膠加工品生產技術研究改良事項各種皮革加工之製銷事項有關事業之投資經營事項,62/06/16,"3,978,181,260元",74/11/23,上市,新台幣10.0000元,"397,818,126股(含私募0股)",每年,https://www.sanfang.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=c3c3c33a-9354-4b7f-ac0a-559651d7ea24
1308,亞聚,塑膠工業,亞洲聚合股份有限公司,kmhuang@tpe.usife.com.tw,吳亦圭,吳培基,低密度聚乙烯及乙烯醋酸乙烯酯共聚合樹脂之生產及銷售.高密度聚乙烯及線型低密度聚乙烯之銷售.分解性塑膠原料之製造及銷售.,66/01/25,"5,821,018,820元",75/06/20,上市,新台幣10.0000元,"582,101,882股(含私募0股)",每年,https://www.apc.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=198efdf7-9df9-47d9-8710-ba1a6cb0cd54
1309,台達化,塑膠工業,台達化學工業股份有限公司,tmyen@ttc.com.tw,吳亦圭,吳培基,"聚苯乙烯及加工品之製銷,丙烯(月青)、丁二烯、苯乙烯共聚體樹脂ABS之製銷,﹝丙烯(月青)、苯乙烯共聚合樹脂﹞SAN之製銷玻璃棉及其有關產品之製銷,塑膠原料及加工品之製銷",49/04/06,"3,442,310,380元",75/06/27,上市,新台幣10.0000元,"344,231,038股(含私募0股)",每年,https://www.ttc.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=6b81b2c1-dcc1-4009-982b-9bc2f230927a
1310,台苯,塑膠工業,台灣苯乙烯工業股份有限公司,investors@mail.smct.com.tw,林文淵,仲崇國,苯乙烯單體對二乙苯甲苯乙苯,68/11/16,"5,278,697,640元",76/08/06,上市,新台幣10.0000元,"527,869,764股(含私募0股)",每年,https://www.smct.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=1e78e2e7-e897-4143-927d-15072c6a16ad
1311,福聚,公司已下市,,,,,,,,,,,,,,
1312,國喬,塑膠工業,國喬石油化學股份有限公司,gppc@gppc.com.tw,楊品正,曾嘉雄,石油化工原料製造業合成樹脂及塑膠製造業國際貿易業(除許可業務外得經營法令非禁止或限制之業務),62/09/25,"9,266,203,280元",77/12/21,上市,新台幣10.0000元,"906,620,328股(含私募0股)",每年,https://www.gppc.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=5d44debc-51e4-47d5-b66f-634159cb7287
1313,聯成,塑膠工業,聯成化學科技股份有限公司,ir@upc.com.tw,苗豐強,柯衣紹,有機酸及其衍生物塑膠增韌劑樹脂及塑膠原料,65/08/14,"13,323,476,070元",78/03/27,上市,新台幣10.0000元,"1,332,347,607股(含私募0股)",每年,https://www.upc.com.tw/zh-TW/Home/Index,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=edb0e53b-3b85-4672-98bf-d94c53c8b720
1314,中石化,塑膠工業,中國石油化學工業開發(股)公司,list1314@ms.tse.com.tw,陳瑞隆,余建松,石油化學產品CPLAN之製造及銷售,58/07/08,"32,848,501,300元",80/07/12,上市,新台幣10.0000元,"3,284,850,130股(含私募0股)",每年,https://www.cpdc.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=5f66e7fc-29c0-4f61-8507-cb7381bc8ae9
1315,達新,塑膠工業,達新工業股份有限公司,thst@mail.tahhsin.com.tw,吳子聰,胡伯澤,塑膠雨衣、什加工、PP瓦楞板、成衣等製品傢俱、文具、護貝、皮件等製品醫療器材製造、批發、零售,55/10/24,"1,386,000,000元",81/05/09,上市,新台幣10.0000元,"138,600,000股(含私募0股)",每半會計年度,http://www.tahhsin.com.tw/zh-TW/index.html,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=83c76edc-c6cc-4e8b-a48f-96512cd0f3de
1316,上曜,建材營造,上曜建設開發股份有限公司,fina@sunyad.com.tw,張祐銘,宋育豪,住宅及大樓開發租售業務。不動產買賣業務。不動產租賃業務。,68/12/11,"1,798,456,260元",81/10/15,上市,新台幣10.0000元,"179,845,626股(含私募0股)",每半會計年度,http://www.sunyad.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=87717443-7ed7-4e17-bb90-b3ffc8f6bba2
1319,東陽,汽車工業,東陽實業廠股份有限公司,15469@tyg.com.tw,吳永豐,吳永祥,汽機車零件製造買賣各項模具製造買賣,56/10/30,"5,914,770,680元",83/12/12,上市,新台幣10.0000元,"591,477,068股(含私募0股)",每年,http://www.tyg.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=0cbfd5aa-f93f-4c6a-8c90-509e6ee8ac15
1321,大洋,塑膠工業,大洋塑膠工業股份有限公司,andy@opc.com.tw,陳欽明,陳欽明,塑膠原料之製造及銷售塑膠製品之製造及銷售塑膠工業附帶原料之製造及銷售,54/06/07,"2,272,282,680元",88/01/26,上市,新台幣10.0000元,"227,228,268股(含私募0股)",每年,http://www.opc.com.tw/zh-tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=f61fcc65-7e69-4600-98e4-0b4d6b8ec187
1323,永裕,塑膠工業,永裕塑膠工業股份有限公司,kct3232@yonyu.com.tw,王威程,王威程,各種塑膠製品製造.批發各種塑膠模具及機械零件之加工製造及買賣塑膠原料染色之加工業務,62/04/02,"912,745,540元",89/09/11,上市,新台幣10.0000元,"91,274,554股(含私募0股)",每年,http://www.yonyu.com.tw/yonyu/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=4ba7d40e-dc6a-4bbd-a0ba-42790b34ee56
1324,地球,塑膠工業,地球綜合工業股份有限公司,fet@globetape.com.tw,鈞鼎投資股份有限公司(代表人張德照),黃林慶,各種黏膠帶電報紙防水紙防蝕漆防蝕膠帶等之製造加工買賣業務機械設計之製造加工按裝修護買賣及電子產品之製造加工買賣業務禮品雜貨等之買賣業務,53/12/08,"751,218,820元",89/09/11,上市,新台幣10.0000元,"75,121,882股(含私募0股)",每年,https://www.globetape.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=0716d2fb-a224-4842-9c4a-d093b2c558ca
1325,恆大,塑膠工業,恒大股份有限公司,uk4409@ms34.hinet.net,黃美慧,黃美慧,各類不織布之產銷,51/10/14,"852,811,980元",89/09/11,上市,新台幣10.0000元,"85,281,198股(含私募0股)",每年,http://www.uk.com.tw/zh-tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=6603ad3a-3482-423e-80f7-202873dac524
1326,台化,塑膠工業,台灣化學纖維股份有限公司,fcfc@fcfc.com.tw,洪福源,呂文進,純對苯二甲酸、聚苯乙烯、苯乙烯、鄰二甲苯、對二甲苯、苯、合成酚、丙酮、聚丙烯、二甲基甲醯胺、ABS、嫘縈棉、合成纖維紗、布、耐隆絲、耐隆絲布及其染整加工等製銷,54/03/05,"58,611,862,910元",73/12/20,上市,新台幣10.0000元,"5,861,186,291股(含私募0股)",每年,http://www.fcfc.com.tw/PRE/TW/index.html#gsc.tab=0,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=df1685c0-76f2-43b1-b609-3d8d64467d4c
1402,遠東新,紡織纖維,遠東新世紀股份有限公司,csostaff@metro.feg.com.tw,徐旭東,"吳高山,鄭澄宇",石化纖維原料、半成品及製成品。纖維紗(布)、混紡紗(布)、假撚絲、棉布、被單。紡織成衣、針織成衣。,43/01/13,"53,528,752,270元",56/04/14,上市,新台幣10.0000元,"5,352,875,227股(含私募0股)",每年,https://www.fenc.com/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=5d541253-3aac-46cc-8cff-be3fa87c7819
1408,中紡,公司已下市,中興紡織廠股份有限公司,cs6@mail.chung-shing.com.tw,鮑泰鈞,吳漢雄,化纖紡紗成衣,45/10/30,"5,450,703,820元",62/05/31,上市,新台幣10.0000元,"545,070,382股
(含私募0股)
",每年,http://www.chung-shing.com.tw,
1409,新纖,紡織纖維,新光合成纖維股份有限公司,wen@shinkong.com.tw,吳東昇,羅時銓,各種合成纖維及各種合成纖維假撚絲之製造及銷售。各種工程用塑膠及其加工品之製造及銷售。各種合成薄膜、膠片及有關合成薄膜原料及加工品之製造及銷售。,56/04/25,"16,184,092,910元",62/08/31,上市,新台幣10.0000元,"1,618,409,291股(含私募0股)",每年,http://www.shinkong.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=90e8b2db-091d-437b-a269-ec42a08ea23f
1410,南染,紡織纖維,南洋染整股份有限公司,nydyeing@ms19.hinet.net,何鈞,何鈞,"絲棉毛合成化學纖維織品之印染及樹脂加工定型整理業務前各項有關產品及原材料之買賣,進出口布匹業務工業廠房開發租售,廠房出租,倉庫出租,辦公大樓出租業",53/12/22,"630,000,000元",62/10/18,上市,新台幣10.0000元,"63,000,000股(含私募0股)",每年,https://www.nydf.com.tw/nydf/chinese/01-profile/index.htm,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=bfb546a9-b01d-40f8-ba61-6943fa9364d6
1413,宏洲,紡織纖維,宏洲纖維工業股份有限公司,wallace@hungchou.com.tw,詹正田,林金鈴,合成化學纖維之製造及加工買賣業務塑膠抽絲品之製造及加工買賣業務,57/07/30,"1,321,124,540元",64/12/23,上市,新台幣10.0000元,"132,112,454股(含私募30,000,000股)",每年,http://www.hungchou.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=b5280cf9-885d-4788-8464-720512b42190
1414,東和,紡織纖維,東和紡織股份有限公司,admsect@tungho.com.tw,蔡淑櫻,張嘉亨,天然纖維紡織及其加工業務。,48/09/11,"2,200,000,000元",65/02/02,上市,新台幣10.0000元,"220,000,000股(含私募0股)",每年,http://www.tungho.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=04b7ce16-674c-465e-85b1-b376ec643f2c
1416,廣豐,其他,廣豐實業股份有限公司,s.j.chern@kfic.com.tw,賀錫敬,黃麗玲,"家用紡織品進出口銷售業務委託興建國民住宅,商業大樓出租出售業務",57/06/28,"1,853,421,680元",65/04/20,上市,新台幣10.0000元,"185,342,168股(含私募0股)",每年,https://www.kfic.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=9f1fe706-1ff5-497f-b77e-aa36c7d25b4f
1417,嘉裕,紡織纖維,嘉裕股份有限公司,ginahsu@carnival.com.tw,嚴陳莉蓮,張祖蕙,男女成衣,58/12/12,"1,899,418,400元",65/12/28,上市,新台幣10.0000元,"189,941,840股(含私募0股)",每年,https://www.carnival.com.tw/index.php?lang=tw,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=93dedaa6-427f-423c-8bb1-845fabccb237
1418,東華,紡織纖維,東華合纖股份有限公司,thsf@ms22.hinet.net,林河輝,林壯儒,聚丙烯青合成纖維.聚丙烯青梳毛條之製造及內外銷生產聚丙烯青紗內外銷聚尿酯系纖維及其原料之製造.加工及內外銷,59/03/02,"568,343,090元",66/02/14,上市,新台幣10.0000元,"56,834,309股(含私募10,000,000股)",每年,無,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=cf34f83c-2314-43a4-b0e4-d45a78c98801
1419,新紡,紡織纖維,新光紡織股份有限公司,shinkong@sktextile.com.tw,吳昕恩,邱錦發,紡織品及針織品之製造、加工買賣及門市零售業務紡織品及針織品成衣加工、製造、買賣及門市零售業務委託營造廠興建商業大樓及國民住宅出租出售業務,44/06/06,"3,000,412,800元",66/03/14,上市,新台幣10.0000元,"300,041,280股(含私募0股)",每年,http://www.sktextile.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=9cc12d44-6899-42ec-b4c3-23839e94cc14
1423,利華,紡織纖維,利華羊毛工業股份有限公司,reward@reward.com.tw,應柔爾,應柔爾,毛條(包括炭化羊毛)之製造及銷售業務其他羊毛之防縮、染整加工業務前列各款所列有關業務之進出口業務,53/07/23,"1,384,000,000元",68/04/02,上市,新台幣10.0000元,"138,400,000股(含私募0股)",每年,http://www.reward.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=c829af10-4dbf-4567-95ed-b36f2dc26473
1432,大魯閣,貿易百貨,大魯閣實業股份有限公司,taroko@taroko.com.tw,林曼麗,謝國棟,商場開發休閒育樂策略事業,62/07/18,"750,000,000元",71/07/26,上市,新台幣10.0000元,"75,000,000股(含私募0股)",每年,http://www.taroko.com.tw/c/index.php,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=43a7692b-8ea6-4aa2-a878-422b85277e1b
